Tournament,Date,Team_1,Team_2,Score_1,Score_2,Game_Rank_Diff_USAU,Game_Wght_USAU,Is_Ignored_USAU,Team_Rank_Diff_USAU,Game_Rank_Diff_Windmill,Game_Wght_Windmill,Is_Ignored_Windmill,Team_Rank_Diff_Windmill,Game_Rank_Diff_Sigmoid,Game_Wght_Sigmoid,Is_Ignored_Sigmoid,Team_Rank_Diff_Sigmoid
Spring Invite UK,2023-04-23,GB U20 Women Red @ Spring Invite UK,GB U20 Women Blue @ Spring Invite UK,1,1,0.0,0.3244428422615251,0,13.759999999999991,0,1,0,-0.009999999999999787,0,1,0,-0.6071680671544382
Spring Invite UK,2023-04-23,GB U20 Women Red @ Spring Invite UK,Oxford Ultimate @ Spring Invite UK,11,3,600.0,0.9176629354822471,0,342.80999999999995,8,1,0,4.940000000000001,8,1,0,4.828294246774888
Spring Invite UK,2023-04-23,Gravity,Brighton @ Spring Invite UK,15,6,600.0,1.0,1,639.77,9,1,0,10.020000000000001,9,1,0,11.728552999776053
Spring Invite UK,2023-04-23,Gravity,Bristol,10,9,125.0,1.0,0,-197.56,1,1,0,-2.03,1,1,0,-2.4980148962810897
Spring Invite UK,2023-04-23,Gravity,LMU @ Spring Invite UK,14,10,398.70186369942724,1.0,0,-180.60999999999999,4,1,0,-2.4,4,1,0,-2.189987496188907
Spring Invite UK,2023-04-23,Gravity,Reading 1 @ Spring Invite UK,13,10,328.14240231865136,1.0,0,12.709999999999999,3,1,0,-0.16000000000000003,3,1,0,0.24297874459130497
Spring Invite UK,2023-04-23,Gravity,SCRAM,13,5,600.0,1.0,0,324.07,8,1,0,4.6,8,1,0,4.867921725991113
Spring Invite UK,2023-04-23,Gravity,Spice,15,6,600.0,1.0,0,-166.03,9,1,0,-1.6599999999999997,9,1,0,-1.752953876088318
Spring Invite UK,2023-04-23,Horizon,Chameleons,15,1,600.0,1.0,0,605.26,14,1,0,9.36,14,1,0,12.660568655226584
Spring Invite UK,2023-04-23,Horizon,GB U20 Women Blue @ Spring Invite UK,15,4,600.0,1.0,0,116.68,11,1,0,3.26,11,1,0,7.6391205970805665
Spring Invite UK,2023-04-23,Horizon,SY-Sea @ Spring Invite UK,15,12,300.4922431832018,1.0,0,-15.819999999999993,3,1,0,-0.16999999999999993,3,1,0,1.4861087909334643
Spring Invite UK,2023-04-23,Iceni,Reading 1 @ Spring Invite UK,15,11,381.1647521399218,1.0,0,289.66999999999996,4,1,0,2.8,4,1,0,3.7434909552442974
Spring Invite UK,2023-04-23,Iceni,SCRAM,15,6,600.0,1.0,1,601.03,9,1,0,7.5600000000000005,9,1,0,7.790258016839427
Spring Invite UK,2023-04-23,Iceni,SY-Sea @ Spring Invite UK,15,5,600.0,1.0,1,753.71,10,1,0,8.86,10,1,0,10.560475664509788
Spring Invite UK,2023-04-23,Iceni,SY-See @ Spring Invite UK,15,3,600.0,1.0,0,440.99,12,1,0,6.2,12,1,0,6.629231417437882
Spring Invite UK,2023-04-23,LMU @ Spring Invite UK,Iceni,15,8,564.8086448756737,1.0,0,-96.35,7,1,0,-0.56,7,1,0,-1.3716574480563075
Spring Invite UK,2023-04-23,LMU @ Spring Invite UK,SMOG Women @ Spring Invite UK,15,10,453.6039151898044,1.0,0,297.89,5,1,0,3.91,5,1,0,3.9704188188502556
Spring Invite UK,2023-04-23,LMU @ Spring Invite UK,SY-Sea @ Spring Invite UK,15,6,600.0,1.0,0,657.36,9,1,0,8.3,9,1,0,9.821093918128692
Spring Invite UK,2023-04-23,LMU @ Spring Invite UK,Spice,13,10,328.14240231865136,1.0,0,14.579999999999984,3,1,0,0.7400000000000002,3,1,0,0.44461971590345506
Spring Invite UK,2023-04-23,Oxford Ultimate @ Spring Invite UK,Chameleons,8,5,453.6039151898044,0.8271701918685112,0,159.5300000000001,3,1,0,1.1499999999999986,3,1,0,4.356644879019189
Spring Invite UK,2023-04-23,Oxford Ultimate @ Spring Invite UK,Chameleons,15,7,600.0,1.0,0,159.5300000000001,8,1,0,1.1499999999999986,8,1,0,4.356644879019189
Spring Invite UK,2023-04-23,Reading 1 @ Spring Invite UK,LMU @ Spring Invite UK,15,12,300.4922431832018,1.0,0,-193.32,3,1,0,-2.24,3,1,0,-2.4272259010128145
Spring Invite UK,2023-04-23,Reading 1 @ Spring Invite UK,SMOG Women @ Spring Invite UK,13,12,125.0,1.0,0,104.57,1,1,0,1.67,1,1,0,1.612248033375188
Spring Invite UK,2023-04-23,Reading 1 @ Spring Invite UK,SY-Sea @ Spring Invite UK,15,6,600.0,1.0,0,464.04,9,1,0,6.06,9,1,0,8.270053070564817
Spring Invite UK,2023-04-23,SCRAM,Brighton @ Spring Invite UK,15,6,600.0,1.0,0,315.7,9,1,0,5.420000000000001,9,1,0,9.193471799428142
Spring Invite UK,2023-04-23,SMOG Women @ Spring Invite UK,Horizon,14,8,536.0348119187572,1.0,0,375.28999999999996,6,1,0,4.56,6,1,0,5.865254615206194
