team_id,team_name,division_id,division_name,country_id,country_ioc,country_name,iso2c
NULL,Iceni,NULL,Women,1069,GBR,Great Britain,GB
NULL,Dublin Gravity,NULL,Women,1088,IRL,Ireland,IE
NULL,Spice,NULL,Women,1069,GBR,Great Britain,GB
NULL,SMOG,NULL,Women,1069,GBR,Great Britain,GB
NULL,Seagulls,NULL,Women,1073,GER,Germany,DE
NULL,Mooncup,NULL,Women,1018,BEL,Belgium,BE
NULL,Horizon,NULL,Women,1069,GBR,Great Britain,GB
NULL,LMU,NULL,Women,1069,GBR,Great Britain,GB
NULL,Bristol,NULL,Women,1069,GBR,Great Britain,GB
NULL,Team 1,NULL,Swissdraw test,1138,NIG,Niger,NE
NULL,Team 2,NULL,Swissdraw test,1053,DJI,Djibouti,DJ
NULL,Team 3,NULL,Swissdraw test,1140,NRU,Nauru,NR
NULL,Team 4,NULL,Swissdraw test,1071,GEO,Georgia,GE
NULL,Team 5,NULL,Swissdraw test,1126,MLT,Malta,MT
NULL,Team 6,NULL,Swissdraw test,1069,GBR,Great Britain,GB
NULL,Team 7,NULL,Swissdraw test,1100,KGZ,Kyrgyzstan,KG
NULL,Team 8,NULL,Swissdraw test,1032,CAF,Central African Republic,CF
NULL,Team 9,NULL,Swissdraw test,1004,AND,Andorra,AD
NULL,Team 10,NULL,Swissdraw test,1084,HUN,Hungary,HU
NULL,Team 1,NULL,Grenoble test,1164,SKN,Saint Kitts and Nevis,KN
NULL,Team 2,NULL,Grenoble test,1181,TGA,Tonga,TO
NULL,Team 3,NULL,Grenoble test,1180,TAN,Tanzania,TZ
NULL,Team 4,NULL,Grenoble test,1137,NGR,Nigeria,NG
NULL,Team 5,NULL,Grenoble test,1151,POL,Poland,PL
NULL,Team 6,NULL,Grenoble test,1076,GRN,Grenada,GD
NULL,Team 7,NULL,Grenoble test,1180,TAN,Tanzania,TZ
NULL,Team 8,NULL,Grenoble test,1062,ETH,Ethiopia,ET
NULL,Team 9,NULL,Grenoble test,1129,MOZ,Mozambique,MZ
NULL,Team 10,NULL,Grenoble test,1163,SGP,Singapore,SG
NULL,SYC,NULL,London Testing,1069,GBR,Great Britain,GB
NULL,Iceni,NULL,London Testing,1069,GBR,Great Britain,GB
NULL,Dublin Gravity,NULL,London Testing,1088,IRL,Ireland,IE
NULL,Spice,NULL,London Testing,1069,GBR,Great Britain,GB
NULL,SMOG,NULL,London Testing,1069,GBR,Great Britain,GB
NULL,Seagulls,NULL,London Testing,1073,GER,Germany,DE
NULL,Mooncup,NULL,London Testing,1018,BEL,Belgium,BE
NULL,Horizon,NULL,London Testing,1069,GBR,Great Britain,GB
NULL,LMU,NULL,London Testing,1069,GBR,Great Britain,GB
NULL,Bristol,NULL,London Testing,1069,GBR,Great Britain,GB
NULL,KFUM Örebro Frisbee,NULL,Brno Testing,1177,SWE,Sweden,SE
NULL,KFK,NULL,Brno Testing,1052,DEN,Denmark,DK
NULL,Terrible Monkeys,NULL,Brno Testing,1051,CZE,Czech Republic,CZ
NULL,FWD>>,NULL,Brno Testing,1012,AUT,Austria,AT
NULL,Uprising Ultimate,NULL,Brno Testing,1151,POL,Poland,PL
NULL,Panthers Wrocław,NULL,Brno Testing,1151,POL,Poland,PL
NULL,Outsiterz,NULL,Brno Testing,1176,SVK,Slovakia,SK
NULL,3SB,NULL,Brno Testing,1051,CZE,Czech Republic,CZ
NULL,Atrofované Ruce,NULL,Brno Testing,1051,CZE,Czech Republic,CZ
NULL,thebigEZ,NULL,Brno Testing,1012,AUT,Austria,AT
NULL,Deep Space,NULL,Padova Testing,1069,GBR,Great Britain,GB
NULL,BN1,NULL,Padova Testing,1069,GBR,Great Britain,GB
NULL,Colorado,NULL,Padova Testing,1073,GER,Germany,DE
NULL,Zombees,NULL,Padova Testing,1012,AUT,Austria,AT
NULL,Nuclear Discs,NULL,Padova Testing,1166,SLO,Slovenia,SI
NULL,Tiefseetaucher,NULL,Padova Testing,1073,GER,Germany,DE
NULL,The Owls,NULL,Padova Testing,1018,BEL,Belgium,BE
NULL,Heroes Flying Disc,NULL,Padova Testing,1084,HUN,Hungary,HU
NULL,Mosquitos,NULL,Padova Testing,1012,AUT,Austria,AT
NULL,OUT,NULL,Padova Testing,1084,HUN,Hungary,HU
NULL,AKS Zły Ultimate,NULL,Padova Testing,1151,POL,Poland,PL
NULL,Frubb,NULL,Padova Testing,1073,GER,Germany,DE
NULL,PUC,NULL,Padova Testing,1065,FRA,France,FR
NULL,Cus Padova Rangərs,NULL,Padova Testing,1093,ITA,Italy,IT
NULL,W.underteam,NULL,Padova Testing,1012,AUT,Austria,AT
NULL,Glasgow Ultimate,NULL,Malmö Testing,1069,GBR,Great Britain,GB
NULL,Nullacht! Ultimate,NULL,Malmö Testing,1073,GER,Germany,DE
NULL,Wiener Mischung,NULL,Malmö Testing,1012,AUT,Austria,AT
NULL,PELT,NULL,Malmö Testing,1088,IRL,Ireland,IE
NULL,Savage Ultimate,NULL,Malmö Testing,1151,POL,Poland,PL
NULL,Sky This Warszawa,NULL,Malmö Testing,1151,POL,Poland,PL
NULL,Malmö Ultimate Club,NULL,Malmö Testing,1177,SWE,Sweden,SE
NULL,DTU,NULL,Malmö Testing,1052,DEN,Denmark,DK
NULL,Dublin Gravity,NULL,Women,1088,IRL,Ireland,IE
NULL,Spice,NULL,Women,1069,GBR,Great Britain,GB
NULL,SMOG,NULL,Women,1069,GBR,Great Britain,GB
NULL,Seagulls,NULL,Women,1073,GER,Germany,DE
NULL,Atletico,NULL,Women,1064,FIN,Finland,FI
NULL,Aarhus Ultimate,NULL,Women,1052,DEN,Denmark,DK
NULL,Malmö Ultimate Club,NULL,Women,1177,SWE,Sweden,SE
NULL,Copenhagen Hucks,NULL,Women,1052,DEN,Denmark,DK
NULL,KFUM Örebro Frisbee,NULL,Open,1177,SWE,Sweden,SE
NULL,KFK,NULL,Open,1052,DEN,Denmark,DK
NULL,Freezzz Beezzz,NULL,Open,1018,BEL,Belgium,BE
NULL,Aarhus,NULL,Open,1052,DEN,Denmark,DK
NULL,Ranelagh,NULL,Open,1088,IRL,Ireland,IE
NULL,OTSO,NULL,Open,1064,FIN,Finland,FI
NULL,PirU,NULL,Open,1064,FIN,Finland,FI
NULL,Hardfisch,NULL,Open,1073,GER,Germany,DE
NULL,Malmö Ultimate Club,NULL,Open,1177,SWE,Sweden,SE
NULL,Deep Space,NULL,Mixed,1069,GBR,Great Britain,GB
NULL,Reading Ultimate,NULL,Mixed,1069,GBR,Great Britain,GB
NULL,Leamington Lemmings,NULL,Mixed,1069,GBR,Great Britain,GB
NULL,Nullacht! Ultimate,NULL,Mixed,1073,GER,Germany,DE
NULL,Sesquidistus,NULL,Mixed,1065,FRA,France,FR
