Tournament,Date,Team_1,Team_2,Score_1,Score_2,Game_Rank_Diff_USAU,Game_Wght_USAU,Is_Ignored_USAU,Team_Rank_Diff_USAU,Game_Rank_Diff_Windmill,Game_Wght_Windmill,Is_Ignored_Windmill,Team_Rank_Diff_Windmill,Game_Rank_Diff_Sigmoid,Game_Wght_Sigmoid,Is_Ignored_Sigmoid,Team_Rank_Diff_Sigmoid
Spring Invite Wroclaw,2023-04-21,Left Overs,Transylvania Ultimate,9,3,600.0,0.8271701918685112,1,796.23,6,1,0,8.53,6,1,0,7.492615954801845
Spring Invite Wroclaw,2023-04-21,Left Overs,Zoom Ultimate,11,6,546.6949863040446,0.9459053029269173,0,453.05,5,1,0,2.17,5,1,0,4.542008448962267
Spring Invite Wroclaw,2023-04-21,PELT,KS FLOW WROCŁAW,8,6,300.4922431832018,0.8583950752789521,0,43.540000000000006,2,1,0,2.44,2,1,0,0.3891626495543523
Spring Invite Wroclaw,2023-04-21,PELT,Left Overs,9,8,125.0,0.9459053029269173,0,-168.74,1,1,0,0.32000000000000006,1,1,0,-1.63226117632877
Spring Invite Wroclaw,2023-04-21,PELT,Zoom Ultimate,10,7,389.6652919127421,0.9459053029269173,0,284.31,3,1,0,2.49,3,1,0,3.008890122657423
Spring Invite Wroclaw,2023-04-21,Prague Devils,Transylvania Ultimate,11,10,125.0,1.0,0,119.81999999999994,1,1,0,7.2,1,1,0,1.6344844972562136
Spring Invite Wroclaw,2023-04-21,Prague Devils,Zoom Ultimate,10,9,125.0,1.0,0,-223.36,1,1,0,0.84,1,1,0,-1.8896572799493203
Spring Invite Wroclaw,2023-04-21,RJP,Hässliche Erdferkel,10,9,125.0,1.0,0,-47.129999999999995,1,1,0,-2.68,1,1,0,-0.39965538972952075
Spring Invite Wroclaw,2023-04-21,RJP,Prague Devils,11,8,365.60925011032475,1.0,0,279.78000000000003,3,1,0,-4.82,3,1,0,2.4695669042777624
Spring Invite Wroclaw,2023-04-21,RJP,Prague Devils,10,7,389.6652919127421,0.9459053029269173,0,279.78000000000003,3,1,0,-4.82,3,1,0,2.4695669042777624
Spring Invite Wroclaw,2023-04-21,RJP,Transylvania Ultimate,12,10,238.1225775586291,1.0,0,399.59999999999997,2,1,0,2.38,2,1,0,4.031722852271791
Spring Invite Wroclaw,2023-04-21,Savage Ultimate,Hässliche Erdferkel,12,10,238.1225775586291,1.0,0,111.26,2,1,0,0.32000000000000006,2,1,0,1.0729146127697469
Spring Invite Wroclaw,2023-04-21,Savage Ultimate,KS FLOW WROCŁAW,9,7,279.3368557106305,0.9176629354822471,0,-25.959999999999994,2,1,0,-1.03,2,1,0,-0.5936896989592206
Spring Invite Wroclaw,2023-04-21,Savage Ultimate,Prague Devils,12,7,520.5112660164395,1.0,0,438.17,5,1,0,-1.8199999999999998,5,1,0,3.876795537303739
Spring Invite Wroclaw,2023-04-21,Savage Ultimate,RJP,14,10,398.70186369942724,1.0,0,158.39,4,1,0,3.0,4,1,0,1.4697689748740963
Spring Invite Wroclaw,2023-04-21,Savage Ultimate,Transylvania Ultimate,12,7,520.5112660164395,1.0,0,557.99,5,1,0,5.38,5,1,0,5.3603200287831605
Spring Invite Wroclaw,2023-04-21,Zoom Ultimate,Transylvania Ultimate,12,7,520.5112660164395,1.0,0,343.17999999999995,5,1,0,6.36,5,1,0,3.476420329140531
G-Spot,2023-05-21,Antwerp Mixed,Belgium U20 Mixed @ G-Spot,9,8,125.0,0.9459053029269173,0,43.639999999999986,1,1,0,-6.09,1,1,0,0.8593081119351353
G-Spot,2023-05-21,Antwerp Mixed,Citadel Ultimate Frisbee @ G-Spot,13,3,600.0,1.0,0,285.53000000000003,10,1,0,-1.6100000000000003,10,1,0,5.06358374539283
G-Spot,2023-05-21,Antwerp Mixed,Friss die Frisbee @ G-Spot,11,9,249.2068104043629,1.0,0,-75.94,2,1,0,-6.15,2,1,0,-1.7337172778815315
G-Spot,2023-05-21,Antwerp Mixed,Scorillaz @ G-Spot,9,5,529.0591339672189,0.8583950752789521,0,30.139999999999986,4,1,0,-0.620000000000001,4,1,0,0.28196678133631536
G-Spot,2023-05-21,Belgian Mixed Masters @ G-Spot,Antwerp Mixed,15,6,600.0,1.0,0,730.3399999999999,9,1,0,14.370000000000001,9,1,0,10.046749372231162
G-Spot,2023-05-21,Belgian Mixed Masters @ G-Spot,Belgium Mixed @ G-Spot,9,7,279.3368557106305,0.9176629354822471,0,338.82,2,1,0,4.619999999999999,2,1,0,5.449728352163042
G-Spot,2023-05-21,Belgian Mixed Masters @ G-Spot,Bremen Ultimate,13,5,600.0,1.0,0,248.35999999999996,8,1,0,1.4399999999999995,8,1,0,4.0178027680608785
G-Spot,2023-05-21,Belgian Mixed Masters @ G-Spot,Netherlands Master Mixed @ G-Spot,14,5,600.0,1.0,0,624.92,9,1,0,12.42,9,1,0,9.228044991382557
G-Spot,2023-05-21,Belgian Mixed Masters @ G-Spot,Oxford Ultimate,14,4,600.0,1.0,0,774.71,10,1,0,12.719999999999999,10,1,0,10.279583275506475
G-Spot,2023-05-21,Belgian Mixed Masters @ G-Spot,Scorillaz @ G-Spot,15,4,600.0,1.0,0,760.48,11,1,0,13.75,11,1,0,10.200289988043078
G-Spot,2023-05-21,Belgian Mixed Masters @ G-Spot,Too Many Cooks,13,8,496.1596377856195,1.0,0,302.78,5,1,0,5.02,5,1,0,5.303314352367167
G-Spot,2023-05-21,Belgium Mixed @ G-Spot,Citadel Ultimate Frisbee @ G-Spot,15,4,600.0,1.0,0,677.0500000000001,11,1,0,8.14,11,1,0,9.799204580019381
G-Spot,2023-05-21,Belgium Mixed @ G-Spot,Jetset Simba's @ G-Spot,11,10,125.0,1.0,0,17.91,1,1,0,-0.25,1,1,0,-0.1387460428698084
G-Spot,2023-05-21,Belgium Mixed @ G-Spot,Spinners @ G-Spot,9,7,279.3368557106305,0.9176629354822471,0,-62.25,2,1,0,-2.43,2,1,0,-0.48583001025901673
G-Spot,2023-05-21,Belgium Mixed @ G-Spot,Too Many Cooks,10,9,125.0,1.0,0,-36.04,1,1,0,0.4,1,1,0,-0.16799297571244942
G-Spot,2023-05-21,Belgium Mixed @ G-Spot,ZomBees,11,8,365.60925011032475,1.0,0,435.91999999999996,3,1,0,6.33,3,1,0,5.861442192337972
G-Spot,2023-05-21,Belgium U20 Mixed @ G-Spot,AUC Mxxxd,10,5,573.8977938505714,0.8885233166386386,0,359.74000000000007,5,1,0,3.78,5,1,0,4.010143540913212
G-Spot,2023-05-21,Belgium U20 Mixed @ G-Spot,Citadel Ultimate Frisbee @ G-Spot,8,6,300.4922431832018,0.8583950752789521,0,241.89000000000004,2,1,0,4.48,2,1,0,4.287183640836869
G-Spot,2023-05-21,Belgium U20 Mixed @ G-Spot,Friss die Frisbee @ G-Spot,10,6,496.1596377856195,0.9176629354822471,0,-119.57999999999998,4,1,0,-0.06000000000000005,4,1,0,-2.57596907061855
G-Spot,2023-05-21,Belgium U20 Mixed @ G-Spot,W.underteam @ G-Spot,11,9,249.2068104043629,1.0,0,107.97999999999996,2,1,0,2.3400000000000003,2,1,0,0.7134612373974338
G-Spot,2023-05-21,Bremen Ultimate,AUC Mxxxd,11,5,600.0,0.9176629354822471,0,885.36,6,1,0,10.620000000000001,6,1,0,10.498848341799675
G-Spot,2023-05-21,Bremen Ultimate,Belgium U20 Mixed @ G-Spot,15,4,600.0,1.0,0,525.62,11,1,0,6.84,11,1,0,7.982360075446593
G-Spot,2023-05-21,Bremen Ultimate,Jetset Simba's @ G-Spot,10,9,125.0,1.0,0,108.37,1,1,0,2.93,1,1,0,1.4489677555971525
G-Spot,2023-05-21,Bremen Ultimate,Jetset Simba's @ G-Spot,11,6,546.6949863040446,0.9459053029269173,0,108.37,5,1,0,2.93,5,1,0,1.4489677555971525
G-Spot,2023-05-21,Bremen Ultimate,Spinners @ G-Spot,11,8,365.60925011032475,1.0,0,28.21,3,1,0,0.75,3,1,0,1.1042486996694123
G-Spot,2023-05-21,Bremen Ultimate,W.underteam @ G-Spot,15,3,600.0,1.0,1,633.5999999999999,12,1,0,9.18,12,1,0,8.48115004285761
G-Spot,2023-05-21,Bremen Ultimate,ZomBees,12,6,579.3107485100336,0.9733285267845752,0,526.38,6,1,0,9.51,6,1,0,7.1521792739448955
G-Spot,2023-05-21,Citadel Ultimate Frisbee @ G-Spot,AUC Mxxxd,7,6,125.0,0.8271701918685112,0,117.85000000000002,1,1,0,-0.7000000000000002,1,1,0,-0.2999600063989618
G-Spot,2023-05-21,FlyHigh,AUC Mxxxd,8,6,300.4922431832018,0.8583950752789521,0,437.83000000000004,2,1,0,1.92,2,1,0,6.013237909099143
G-Spot,2023-05-21,FlyHigh,AUC Mxxxd,9,7,279.3368557106305,0.9176629354822471,0,437.83000000000004,2,1,0,1.92,2,1,0,6.013237909099143
G-Spot,2023-05-21,Force Elektro MXD,FlyHigh,11,4,600.0,0.9176629354822471,0,322.91,7,1,0,2.45,7,1,0,3.502668500278137
G-Spot,2023-05-21,Force Elektro MXD,Free Spirits @ G-Spot,6,4,365.60925011032475,0.7254762501100116,0,125.32000000000001,2,1,0,2.2199999999999998,2,1,0,1.4155254696453987
G-Spot,2023-05-21,Force Elektro MXD,Mainzelrenner,10,9,125.0,1.0,0,-134.54000000000002,1,1,0,-2.4099999999999997,1,1,0,-0.9706417922618424
G-Spot,2023-05-21,Force Elektro MXD,Seitensprung @ G-Spot,11,5,600.0,0.9176629354822471,0,156.64999999999998,6,1,0,2.3600000000000003,6,1,0,1.8926095947966353
G-Spot,2023-05-21,Force Elektro MXD,ZomBees,11,7,466.8933257329327,0.9733285267845752,0,401.76,4,1,0,3.26,4,1,0,4.565158461320177
G-Spot,2023-05-21,Free Spirits @ G-Spot,FlyHigh,10,8,262.66557693448596,0.9733285267845752,0,197.59,2,1,0,0.23000000000000043,2,1,0,2.1341717966007003
G-Spot,2023-05-21,Free Spirits @ G-Spot,Friss die Frisbee @ G-Spot,10,9,125.0,1.0,0,156.1,1,1,0,-1.6899999999999995,1,1,0,1.798802064364164
G-Spot,2023-05-21,Free Spirits @ G-Spot,Scorillaz @ G-Spot,8,5,453.6039151898044,0.8271701918685112,0,262.17999999999995,3,1,0,3.84,3,1,0,3.749819832318316
G-Spot,2023-05-21,Free Spirits @ G-Spot,Seitensprung @ G-Spot,12,10,238.1225775586291,1.0,0,31.329999999999984,2,1,0,0.14000000000000057,2,1,0,0.48283313796335214
G-Spot,2023-05-21,Free Spirits @ G-Spot,Seitensprung @ G-Spot,9,8,125.0,0.9459053029269173,0,31.329999999999984,1,1,0,0.14000000000000057,1,1,0,0.48283313796335214
G-Spot,2023-05-21,Friss die Frisbee @ G-Spot,FlyHigh,12,10,238.1225775586291,1.0,0,41.49000000000001,2,1,0,1.92,2,1,0,0.34119113945120105
G-Spot,2023-05-21,Friss die Frisbee @ G-Spot,FlyHigh,12,8,441.15462425988915,1.0,0,41.49000000000001,4,1,0,1.92,4,1,0,0.34119113945120105
G-Spot,2023-05-21,Friss die Frisbee @ G-Spot,Force Elektro MXD,10,7,389.6652919127421,0.9459053029269173,0,-281.42,3,1,0,-0.5300000000000002,3,1,0,-3.1783591015753956
G-Spot,2023-05-21,Jetset Simba's @ G-Spot,AUC Mxxxd,15,4,600.0,1.0,0,776.99,11,1,0,7.6899999999999995,11,1,0,9.706121962544291
G-Spot,2023-05-21,Jetset Simba's @ G-Spot,Belgium U20 Mixed @ G-Spot,14,6,600.0,1.0,0,417.25,8,1,0,3.91,8,1,0,6.887443087699889
G-Spot,2023-05-21,Jetset Simba's @ G-Spot,Force Elektro MXD,11,10,125.0,1.0,0,16.250000000000004,1,1,0,3.32,1,1,0,1.6085412562436936
G-Spot,2023-05-21,Jetset Simba's @ G-Spot,Oxford Ultimate,14,5,600.0,1.0,0,417.98,9,1,0,8.35,9,1,0,6.543871826759869
G-Spot,2023-05-21,Jetset Simba's @ G-Spot,W.underteam @ G-Spot,15,6,600.0,1.0,0,525.2299999999999,9,1,0,6.25,9,1,0,7.4384510770976355
G-Spot,2023-05-21,Jetset Simba's @ G-Spot,ZomBees,11,5,600.0,0.9176629354822471,0,418.01,6,1,0,6.58,6,1,0,5.978578943018075
G-Spot,2023-05-21,Mainzelrenner,FlyHigh,12,7,520.5112660164395,1.0,0,457.45000000000005,5,1,0,4.86,5,1,0,4.40672301499831
G-Spot,2023-05-21,Mainzelrenner,Free Spirits @ G-Spot,9,7,279.3368557106305,0.9176629354822471,0,259.86,2,1,0,4.63,2,1,0,2.3716845105836377
G-Spot,2023-05-21,Mainzelrenner,Friss die Frisbee @ G-Spot,13,8,496.1596377856195,1.0,0,415.96000000000004,5,1,0,2.94,5,1,0,4.0928820568629405
G-Spot,2023-05-21,Mainzelrenner,Seitensprung @ G-Spot,11,7,466.8933257329327,0.9733285267845752,0,291.19,4,1,0,4.7700000000000005,4,1,0,2.840063268042144
G-Spot,2023-05-21,Mainzelrenner,Seitensprung @ G-Spot,9,6,418.5661446562001,0.8885233166386386,0,291.19,3,1,0,4.7700000000000005,3,1,0,2.840063268042144
G-Spot,2023-05-21,Mainzelrenner,U24 Germany Mixed @ G-Spot,10,9,125.0,1.0,0,70.51,1,1,0,-0.20000000000000007,1,1,0,0.5772148359475722
G-Spot,2023-05-21,Mainzelrenner,W.underteam @ G-Spot,13,7,557.5316737222639,1.0,0,643.52,6,1,0,5.340000000000001,6,1,0,6.943548622019222
G-Spot,2023-05-21,Netherlands Master Mixed @ G-Spot,Antwerp Mixed,12,6,579.3107485100336,0.9733285267845752,0,105.42000000000002,6,1,0,1.9500000000000002,6,1,0,1.392479167373473
G-Spot,2023-05-21,Netherlands Master Mixed @ G-Spot,Oxford Ultimate,12,5,600.0,0.9459053029269173,0,149.79000000000002,7,1,0,0.2999999999999998,7,1,0,1.8180186313810118
G-Spot,2023-05-21,Netherlands Master Mixed @ G-Spot,Oxford Ultimate,10,7,389.6652919127421,0.9459053029269173,0,149.79000000000002,3,1,0,0.2999999999999998,3,1,0,1.8180186313810118
G-Spot,2023-05-21,Netherlands Master Mixed @ G-Spot,W.underteam @ G-Spot,10,7,389.6652919127421,0.9459053029269173,0,257.03999999999996,3,1,0,-1.7999999999999998,3,1,0,2.932508508388807
G-Spot,2023-05-21,Oxford Ultimate,Antwerp Mixed,11,10,125.0,1.0,0,-44.370000000000005,1,1,0,1.6500000000000004,1,1,0,-0.4303818394159258
G-Spot,2023-05-21,Oxford Ultimate,Scorillaz @ G-Spot,13,9,418.5661446562001,1.0,0,-14.230000000000018,4,1,0,1.0299999999999994,4,1,0,-0.14849514869518998
G-Spot,2023-05-21,Oxford Ultimate,Scorillaz @ G-Spot,10,9,125.0,1.0,0,-14.230000000000018,1,1,0,1.0299999999999994,1,1,0,-0.14849514869518998
G-Spot,2023-05-21,Scorillaz @ G-Spot,Belgium U20 Mixed @ G-Spot,10,7,389.6652919127421,0.9459053029269173,0,13.5,3,1,0,-5.469999999999999,3,1,0,0.577963723916163
G-Spot,2023-05-21,Scorillaz @ G-Spot,Netherlands Master Mixed @ G-Spot,9,8,125.0,0.9459053029269173,0,-135.56,1,1,0,-1.3299999999999992,1,1,0,-1.6715290720208937
G-Spot,2023-05-21,Scorillaz @ G-Spot,W.underteam @ G-Spot,9,4,600.0,0.8271701918685112,0,121.47999999999996,5,1,0,-3.129999999999999,5,1,0,1.289062512410645
G-Spot,2023-05-21,Seitensprung @ G-Spot,Citadel Ultimate Frisbee @ G-Spot,13,4,600.0,1.0,0,486.24,9,1,0,2.71,9,1,0,7.572259561002632
G-Spot,2023-05-21,Seitensprung @ G-Spot,FlyHigh,9,5,529.0591339672189,0.8583950752789521,0,166.26000000000002,4,1,0,0.08999999999999986,4,1,0,1.6589362094594975
G-Spot,2023-05-21,Seitensprung @ G-Spot,Friss die Frisbee @ G-Spot,10,8,262.66557693448596,0.9733285267845752,0,124.77000000000001,2,1,0,-1.83,2,1,0,1.3210683750686236
G-Spot,2023-05-21,Seitensprung @ G-Spot,Netherlands Master Mixed @ G-Spot,11,6,546.6949863040446,0.9459053029269173,0,95.28999999999999,5,1,0,2.37,5,1,0,1.6626402391473967
G-Spot,2023-05-21,Spinners @ G-Spot,Citadel Ultimate Frisbee @ G-Spot,15,4,600.0,1.0,0,739.3000000000001,11,1,0,10.57,11,1,0,10.071923974675453
G-Spot,2023-05-21,Spinners @ G-Spot,Force Elektro MXD,10,8,262.66557693448596,0.9733285267845752,0,96.41,2,1,0,5.5,2,1,0,1.950886994612226
G-Spot,2023-05-21,Spinners @ G-Spot,Mainzelrenner,9,8,125.0,0.9459053029269173,0,-38.13,1,1,0,3.0900000000000003,1,1,0,0.9885650202568517
G-Spot,2023-05-21,Spinners @ G-Spot,Too Many Cooks,12,6,579.3107485100336,0.9733285267845752,0,26.21,6,1,0,2.83,6,1,0,0.3179523679230858
G-Spot,2023-05-21,Spinners @ G-Spot,U24 Germany Mixed @ G-Spot,11,9,249.2068104043629,1.0,0,32.38,2,1,0,2.89,2,1,0,1.5618189833340992
G-Spot,2023-05-21,Too Many Cooks,Citadel Ultimate Frisbee @ G-Spot,15,4,600.0,1.0,1,713.09,11,1,0,7.74,11,1,0,9.894802888424504
G-Spot,2023-05-21,Too Many Cooks,Free Spirits @ G-Spot,8,6,300.4922431832018,0.8583950752789521,0,195.52,2,1,0,4.89,2,1,0,3.021844575262037
G-Spot,2023-05-21,Too Many Cooks,Spinners @ G-Spot,10,8,262.66557693448596,0.9733285267845752,0,-26.21,2,1,0,-2.83,2,1,0,-0.31795236792308756
G-Spot,2023-05-21,Too Many Cooks,U24 Germany Mixed @ G-Spot,9,7,279.3368557106305,0.9176629354822471,0,6.170000000000002,2,1,0,0.05999999999999994,2,1,0,1.246617951338223
G-Spot,2023-05-21,Too Many Cooks,ZomBees,12,8,441.15462425988915,1.0,0,471.96,4,1,0,5.93,4,1,0,6.003163161824382
G-Spot,2023-05-21,U24 Germany Mixed @ G-Spot,Belgium Mixed @ G-Spot,11,6,546.6949863040446,0.9459053029269173,0,29.869999999999997,5,1,0,-0.45999999999999996,5,1,0,-1.079629861796814
G-Spot,2023-05-21,U24 Germany Mixed @ G-Spot,Citadel Ultimate Frisbee @ G-Spot,9,6,418.5661446562001,0.8885233166386386,0,706.9200000000001,3,1,0,7.68,3,1,0,9.149798823611807
G-Spot,2023-05-21,U24 Germany Mixed @ G-Spot,Free Spirits @ G-Spot,9,6,418.5661446562001,0.8885233166386386,0,189.35000000000002,3,1,0,4.83,3,1,0,1.805454634249422
G-Spot,2023-05-21,U24 Germany Mixed @ G-Spot,Friss die Frisbee @ G-Spot,9,5,529.0591339672189,0.8583950752789521,0,345.45,4,1,0,3.14,4,1,0,3.5529729991273236
G-Spot,2023-05-21,U24 Germany Mixed @ G-Spot,Oxford Ultimate,10,7,389.6652919127421,0.9459053029269173,0,465.76,3,1,0,7.640000000000001,3,1,0,5.5218433695677085
G-Spot,2023-05-21,W.underteam @ G-Spot,AUC Mxxxd,8,2,600.0,0.7608859102526822,0,251.7600000000001,6,1,0,1.4399999999999995,6,1,0,3.339142572938812
G-Spot,2023-05-21,W.underteam @ G-Spot,Antwerp Mixed,10,5,573.8977938505714,0.8885233166386386,0,-151.61999999999995,5,1,0,3.75,5,1,0,-1.5684954917024108
G-Spot,2023-05-21,ZomBees,AUC Mxxxd,13,4,600.0,1.0,0,358.9800000000001,9,1,0,1.1100000000000003,9,1,0,5.023005534418367
G-Spot,2023-05-21,ZomBees,Belgium U20 Mixed @ G-Spot,9,7,279.3368557106305,0.9176629354822471,0,-0.7599999999999909,2,1,0,-2.6699999999999995,2,1,0,1.11245365657361
G-Spot,2023-05-21,ZomBees,Netherlands Master Mixed @ G-Spot,12,8,441.15462425988915,1.0,0,-149.82,4,1,0,1.4700000000000006,4,1,0,-1.140047207632847
G-Spot,2023-05-21,ZomBees,W.underteam @ G-Spot,11,8,365.60925011032475,1.0,0,107.21999999999997,3,1,0,-0.3299999999999992,3,1,0,1.8194965788515525
DFV-Pokal Mixed,2023-05-29,Bremen Ultimate,Colorado,13,8,496.1596377856195,1.0,0,156.14,5,1,0,5.51,5,1,0,2.0253061437051763
DFV-Pokal Mixed,2023-05-29,Bremen Ultimate,Maultaschen,13,7,557.5316737222639,1.0,0,424.01,6,1,0,8.43,6,1,0,5.08218188823934
DFV-Pokal Mixed,2023-05-29,Bremen Ultimate,TV Bad Rappenau,13,9,418.5661446562001,1.0,0,437.11,4,1,0,7.43,4,1,0,5.421713446048738
DFV-Pokal Mixed,2023-05-29,Colorado,Hucks Ultimate Club Berlin,15,14,125.0,1.0,0,9.560000000000002,1,1,0,2.57,1,1,0,0.2054871442001609
DFV-Pokal Mixed,2023-05-29,Colorado,Maultaschen,13,6,600.0,1.0,0,267.87,7,1,0,2.9200000000000004,7,1,0,3.2034212199755743
DFV-Pokal Mixed,2023-05-29,Colorado,TV Bad Rappenau,13,8,496.1596377856195,1.0,0,280.97,5,1,0,1.92,5,1,0,3.5706657833192494
