Tournament,Date,Team_1,Team_2,Score_1,Score_2,Game_Rank_Diff_USAU,Game_Wght_USAU,Is_Ignored_USAU,Team_Rank_Diff_USAU,Game_Rank_Diff_Windmill,Game_Wght_Windmill,Is_Ignored_Windmill,Team_Rank_Diff_Windmill,Game_Rank_Diff_Sigmoid,Game_Wght_Sigmoid,Is_Ignored_Sigmoid,Team_Rank_Diff_Sigmoid
Spring Invite Padova,2023-04-21,Flying Angels Bern,FWD>>,13,10,328.14240231865136,1.0,0,247.22000000000003,3,1,0,2.8,3,1,0,3.031917014457676
Spring Invite Padova,2023-04-21,Freespeed,Flying Angels Bern,13,12,125.0,1.0,0,-197.45,1,1,0,-2.05,1,1,0,-2.1172682311367836
Spring Invite Padova,2023-04-21,Freespeed,Hardfisch,15,4,600.0,1.0,0,120.38999999999999,11,1,0,1.48,11,1,0,1.7411166571305436
Spring Invite Padova,2023-04-21,Freespeed,Outsiterz,13,12,125.0,1.0,0,-59.56,1,1,0,-1.06,1,1,0,-1.3657074025797904
Spring Invite Padova,2023-04-21,Freespeed,SLOVENIA,15,11,381.1647521399218,1.0,0,516.98,4,1,0,6.260000000000001,4,1,0,7.013480747081623
Spring Invite Padova,2023-04-21,Hardfisch,SLOVENIA,15,14,125.0,1.0,0,396.59000000000003,1,1,0,4.78,1,1,0,5.574928810571109
Spring Invite Padova,2023-04-21,M.U.C.,Alligators,15,10,453.6039151898044,1.0,0,156.68999999999997,5,1,0,2.43,5,1,0,2.403117542896908
Spring Invite Padova,2023-04-21,M.U.C.,Canieporci,15,4,600.0,1.0,1,807.8299999999999,11,1,0,11.01,11,1,0,10.028526668752455
Spring Invite Padova,2023-04-21,M.U.C.,Outsiterz,15,10,453.6039151898044,1.0,0,383.62,5,1,0,4.62,5,1,0,4.540645939981626
Spring Invite Padova,2023-04-21,M.U.C.,Panthers Bern,15,12,300.4922431832018,1.0,0,314.05999999999995,3,1,0,4.15,3,1,0,4.220974899571328
Spring Invite Padova,2023-04-21,M.U.C.,Red Bulls,15,8,564.8086448756737,1.0,0,363.42999999999995,7,1,0,4.17,7,1,0,4.430010518576346
Spring Invite Padova,2023-04-21,Outsiterz,Canieporci,15,5,600.0,1.0,0,424.21000000000004,10,1,0,6.39,10,1,0,6.880338606175396
Spring Invite Padova,2023-04-21,Outsiterz,FWD>>,15,14,125.0,1.0,0,109.33000000000001,1,1,0,1.81,1,1,0,2.294107688176542
Spring Invite Padova,2023-04-21,Outsiterz,thebigEZ,15,12,300.4922431832018,1.0,0,168.60999999999999,3,1,0,2.15,3,1,0,2.6479675253651678
Spring Invite Padova,2023-04-21,Panthers Bern,Panthers Wroclaw - Open,15,13,214.17926913507503,1.0,0,-84.28,2,1,0,-0.8899999999999999,2,1,0,-0.7112163116669681
Spring Invite Padova,2023-04-21,Panthers Bern,SLOVENIA,15,9,515.4814780292847,1.0,0,646.1,6,1,0,7.79,6,1,0,8.283094594448642
Spring Invite Padova,2023-04-21,Panthers Bern,thebigEZ,13,8,496.1596377856195,1.0,0,238.17,5,1,0,2.62,5,1,0,2.985128155709887
Spring Invite Padova,2023-04-21,Panthers Wroclaw - Open,Cus Padova Barbastreji,11,9,249.2068104043629,1.0,0,146.67000000000002,2,1,0,1.6099999999999999,2,1,0,1.526200435531699
Spring Invite Padova,2023-04-21,Panthers Wroclaw - Open,Freespeed,14,12,220.95664314305532,1.0,0,213.4,2,1,0,2.42,2,1,0,2.409693819128318
Spring Invite Padova,2023-04-21,Panthers Wroclaw - Open,Hardfisch,15,8,564.8086448756737,1.0,0,333.78999999999996,7,1,0,3.9,7,1,0,4.074827475349441
Spring Invite Padova,2023-04-21,Red Bulls,FWD>>,13,12,125.0,1.0,0,129.52,1,1,0,2.26,1,1,0,2.412616303534758
Spring Invite Padova,2023-04-21,Red Bulls,Flying Angels Bern,13,9,418.5661446562001,1.0,0,-117.7,4,1,0,-0.5399999999999998,4,1,0,-0.6401110112782344
Spring Invite Padova,2023-04-21,Red Bulls,Panthers Wroclaw - Open,11,10,125.0,1.0,0,-133.65,1,1,0,-0.9099999999999997,1,1,0,-0.9385224139869468
Spring Invite Padova,2023-04-21,thebigEZ,Flying Angels Bern,8,7,125.0,0.8885233166386386,0,-306.5,1,1,0,-3.1399999999999997,1,1,0,-3.3790362930141953
Spring Invite Padova,2023-04-21,thebigEZ,Hardfisch,15,10,453.6039151898044,1.0,0,11.340000000000003,5,1,0,0.3900000000000001,5,1,0,0.44237168279203587
Spring Invite Padova,2023-04-21,thebigEZ,SLOVENIA,15,9,515.4814780292847,1.0,0,407.93000000000006,6,1,0,5.17,6,1,0,5.952060863203844
Toms Tourney,2023-05-05,Alba,Bora,15,9,515.4814780292847,1.0,0,541.77,6,1,0,6.52,6,1,0,6.9694509810392695
Toms Tourney,2023-05-05,Alba,Frizstyle,14,12,220.95664314305532,1.0,0,174.97,2,1,0,1.98,2,1,0,2.114327919167099
Toms Tourney,2023-05-05,Alba,GB U24 open @ Toms Tourney,13,9,418.5661446562001,1.0,0,13.890000000000015,4,1,0,0.5,4,1,0,0.5150474439102837
Toms Tourney,2023-05-05,Alba,Gentle Open,15,9,515.4814780292847,1.0,0,54.150000000000006,6,1,0,0.22999999999999998,6,1,0,0.3471879802657014
Toms Tourney,2023-05-05,Alba,Red Bulls,13,11,228.8403622143806,1.0,0,192.83,2,1,0,2.15,2,1,0,2.452051353074758
Toms Tourney,2023-05-05,BEL U24 @ Toms Tourney,GB masters @ Toms Tourney,12,5,600.0,0.9459053029269173,0,643.74,7,1,0,7.59,7,1,0,7.579522481811271
Toms Tourney,2023-05-05,BEL U24 @ Toms Tourney,Iznogood,15,9,515.4814780292847,1.0,0,254.28,6,1,0,3.4299999999999997,6,1,0,3.645565707828329
Toms Tourney,2023-05-05,BEL U24 @ Toms Tourney,JetSet Ultimate Open,15,12,300.4922431832018,1.0,0,234.67000000000002,3,1,0,2.8899999999999997,3,1,0,3.159729484167002
Toms Tourney,2023-05-05,BEL U24 @ Toms Tourney,Panthers Bern,15,6,600.0,1.0,0,392.78,9,1,0,5.24,9,1,0,5.398878439406133
Toms Tourney,2023-05-05,BEL U24 @ Toms Tourney,Wall City,13,11,228.8403622143806,1.0,0,87.25,2,1,0,1.2599999999999998,2,1,0,1.3359507112921563
Toms Tourney,2023-05-05,BFD La Fotta,BEL U24 @ Toms Tourney,14,13,125.0,1.0,0,215.42000000000002,1,1,0,2.8899999999999997,1,1,0,3.093727721459338
Toms Tourney,2023-05-05,BFD La Fotta,Freespeed,15,4,600.0,1.0,1,737.32,11,1,0,9.66,11,1,0,9.07170293667619
Toms Tourney,2023-05-05,BFD La Fotta,Frizzly Bears,15,7,600.0,1.0,0,786.23,8,1,0,10.139999999999999,8,1,0,9.452115265889748
Toms Tourney,2023-05-05,BFD La Fotta,GB U24 open @ Toms Tourney,15,6,600.0,1.0,0,478.63,9,1,0,6.5,9,1,0,6.580865296450831
Toms Tourney,2023-05-05,BFD La Fotta,Gentle Open,15,10,453.6039151898044,1.0,0,518.89,5,1,0,6.2299999999999995,5,1,0,6.444537603337995
Toms Tourney,2023-05-05,BFD La Fotta,Spain open @ Toms Tourney,15,11,381.1647521399218,1.0,0,243.97000000000003,4,1,0,3.1999999999999993,4,1,0,3.4139020590904217
Toms Tourney,2023-05-05,BFD La Fotta,Tchac,15,8,564.8086448756737,1.0,0,194.3,7,1,0,3.21,7,1,0,3.3683553847715118
Toms Tourney,2023-05-05,Bora,Ka-Pow!,15,10,453.6039151898044,1.0,0,96.08000000000004,5,1,0,1.9100000000000001,5,1,0,2.4169996775466984
Toms Tourney,2023-05-05,Cotarica Grandes,Frizstyle,13,12,125.0,1.0,0,150.07,1,1,0,1.6099999999999999,1,1,0,1.6693069749889489
Toms Tourney,2023-05-05,Cotarica Grandes,Ireland open @ Toms Tourney,14,10,398.70186369942724,1.0,0,109.12,4,1,0,0.8900000000000001,4,1,0,1.3396708823101804
Toms Tourney,2023-05-05,Cotarica Grandes,Ka-Pow!,15,8,564.8086448756737,1.0,0,612.95,7,1,0,8.06,7,1,0,8.428442967537393
Toms Tourney,2023-05-05,Denmark open @ Toms Tourney,Cotarica Grandes,10,9,125.0,1.0,0,-81.4,1,1,0,-1.0399999999999998,1,1,0,-1.0706761002268692
Toms Tourney,2023-05-05,Denmark open @ Toms Tourney,Ireland open @ Toms Tourney,11,8,365.60925011032475,1.0,0,27.72,3,1,0,-0.1499999999999997,3,1,0,0.27072060015578536
Toms Tourney,2023-05-05,Denmark open @ Toms Tourney,Ka-Pow!,15,8,564.8086448756737,1.0,0,531.55,7,1,0,7.0200000000000005,7,1,0,7.665196875489787
Toms Tourney,2023-05-05,Freespeed,Bora,15,13,214.17926913507503,1.0,0,269.18999999999994,2,1,0,2.86,2,1,0,3.5161384912819678
Toms Tourney,2023-05-05,Freespeed,Frizzly Bears,15,9,515.4814780292847,1.0,0,48.91,6,1,0,0.48,6,1,0,0.6146556265548515
Toms Tourney,2023-05-05,Frizstyle,Bora,14,13,125.0,1.0,0,366.79999999999995,1,1,0,4.54,1,1,0,5.195378929326502
Toms Tourney,2023-05-05,Frizstyle,Denmark open @ Toms Tourney,13,12,125.0,1.0,0,-68.67,1,1,0,-0.5700000000000001,1,1,0,-0.6034241735639245
Toms Tourney,2023-05-05,Frizstyle,Red Bulls,12,10,238.1225775586291,1.0,0,17.86,2,1,0,0.16999999999999993,2,1,0,0.34568878039729256
Toms Tourney,2023-05-05,Frizzly Bears,Ireland open @ Toms Tourney,15,12,300.4922431832018,1.0,0,-187.47,3,1,0,-2.88,3,1,0,-2.753192006289556
Toms Tourney,2023-05-05,Frizzly Bears,Panthers Bern,15,13,214.17926913507503,1.0,0,-178.03,2,1,0,-2.01,2,1,0,-2.3153442138936278
Toms Tourney,2023-05-05,Frizzly Bears,Red Bulls,15,12,300.4922431832018,1.0,0,-128.66,3,1,0,-1.9900000000000002,3,1,0,-2.092270310263448
Toms Tourney,2023-05-05,GB U24 open @ Toms Tourney,Cotarica Grandes,13,10,328.14240231865136,1.0,0,11.009999999999991,3,1,0,-0.1299999999999999,3,1,0,-0.06299962956261673
Toms Tourney,2023-05-05,GB U24 open @ Toms Tourney,Denmark open @ Toms Tourney,14,10,398.70186369942724,1.0,0,92.41,4,1,0,0.9099999999999999,4,1,0,1.0079786501095036
Toms Tourney,2023-05-05,GB U24 open @ Toms Tourney,Freespeed,15,8,564.8086448756737,1.0,0,258.69,7,1,0,3.16,7,1,0,3.390425284180065
