"team_id","team_name","division_id","division_name","country_id","country_ioc","country_name"
NULL,"KS FLOW WROCŁAW",NULL,"Mixed","1151","POL","Poland"
NULL,"Left Overs",NULL,"Mixed","1051","CZE","Czech Republic"
NULL,"Mosquitos",NULL,"Mixed","1012","AUT","Austria"
NULL,"Rubber Duckies",NULL,"Mixed","1166","SLO","Slovenia"
NULL,"OUT",NULL,"Mixed","1084","HUN","Hungary"
NULL,"Savage Ultimate",NULL,"Mixed","1151","POL","Poland"
NULL,"ZomBees",NULL,"Mixed","1012","AUT","Austria"
NULL,"3SB - women",NULL,"Women","1051","CZE","Czech Republic"
NULL,"box vienna",NULL,"Women","1012","AUT","Austria"
NULL,"East Block",NULL,"Women","1051","CZE","Czech Republic"
NULL,"Panthers Wroclaw",NULL,"Women","1151","POL","Poland"
NULL,"Troubles Warsaw",NULL,"Women","1151","POL","Poland"
NULL,"FABulous",NULL,"Women","1174","SUI","Switzerland"
NULL,"Heidees Frauen",NULL,"Women","1073","GER","Germany"
NULL,"Jetset LUV",NULL,"Women","1018","BEL","Belgium"
NULL,"Lillipuc",NULL,"Women","1065","FRA","France"
NULL,"Mooncup",NULL,"Women","1018","BEL","Belgium"
NULL,"Seagulls",NULL,"Women","1073","GER","Germany"
NULL,"Tequila Boom Boom",NULL,"Women","1093","ITA","Italy"
NULL,"Wuf.",NULL,"Women","1018","BEL","Belgium"
NULL,"Deep Space",NULL,"Mixed","1069","GBR","Great Britain"
NULL,"DISConnection",NULL,"Mixed","1073","GER","Germany"
NULL,"FRuBB",NULL,"Mixed","1073","GER","Germany"
NULL,"GRUT",NULL,"Mixed","1135","NED","Netherlands"
NULL,"KS FLOW WROCŁAW",NULL,"Mixed","1151","POL","Poland"
NULL,"Leamington Lemmings",NULL,"Mixed","1069","GBR","Great Britain"
NULL,"Left Overs",NULL,"Mixed","1051","CZE","Czech Republic"
NULL,"Manchots",NULL,"Mixed","1065","FRA","France"
NULL,"Monkey Grenoble",NULL,"Mixed","1065","FRA","France"
NULL,"Nullacht! Ultimate",NULL,"Mixed","1073","GER","Germany"
NULL,"Reading Ultimate",NULL,"Mixed","1069","GBR","Great Britain"
NULL,"Savage Ultimate",NULL,"Mixed","1151","POL","Poland"
NULL,"Smog",NULL,"Mixed","1069","GBR","Great Britain"
NULL,"Tartu Turbulence",NULL,"Mixed","1061","EST","Estonia"
NULL,"Zoom Ultimate",NULL,"Mixed","1190","TUR","Turkey"
NULL,"Glasgow Mixed",NULL,"Mixed","1069","GBR","Great Britain"
NULL,"3SB - women",NULL,"Women","1051","CZE","Czech Republic"
NULL,"box vienna",NULL,"Women","1012","AUT","Austria"
NULL,"Bristol",NULL,"Women","1069","GBR","Great Britain"
NULL,"Gravity",NULL,"Women","1088","IRL","Ireland"
NULL,"East Block",NULL,"Women","1051","CZE","Czech Republic"
NULL,"Flame",NULL,"Women","1088","IRL","Ireland"
NULL,"Heidees Frauen",NULL,"Women","1073","GER","Germany"
NULL,"Iceni",NULL,"Women","1069","GBR","Great Britain"
NULL,"Jetset LUV",NULL,"Women","1018","BEL","Belgium"
NULL,"JinX",NULL,"Women","1073","GER","Germany"
NULL,"Mooncup",NULL,"Women","1018","BEL","Belgium"
NULL,"Shout",NULL,"Women","1093","ITA","Italy"
NULL,"Spice Ultimate",NULL,"Women","1069","GBR","Great Britain"
NULL,"Tequila Boom Boom",NULL,"Women","1093","ITA","Italy"
NULL,"Troubles Warsaw",NULL,"Women","1151","POL","Poland"
NULL,"YAKA",NULL,"Women","1065","FRA","France"
NULL,"3SB - Open",NULL,"Open","1051","CZE","Czech Republic"
NULL,"Bad Skid",NULL,"Open","1073","GER","Germany"
NULL,"BFD LaFotta",NULL,"Open","1093","ITA","Italy"
NULL,"Bristol Open",NULL,"Open","1069","GBR","Great Britain"
NULL,"Chevron Action Flash",NULL,"Open","1069","GBR","Great Britain"
NULL,"Clapham Ultimate",NULL,"Open","1069","GBR","Great Britain"
NULL,"Cotarica Grandes",NULL,"Open","1093","ITA","Italy"
NULL,"Flying Angels Bern",NULL,"Open","1174","SUI","Switzerland"
NULL,"FWD>>",NULL,"Open","1012","AUT","Austria"
NULL,"Gentle Open",NULL,"Open","1018","BEL","Belgium"
NULL,"JetSet Ultimate Open",NULL,"Open","1018","BEL","Belgium"
NULL,"Københavns Frisbee Klub (KFK)",NULL,"Open","1052","DEN","Denmark"
NULL,"M.U.C.",NULL,"Open","1073","GER","Germany"
NULL,"Mooncatchers",NULL,"Open","1018","BEL","Belgium"
NULL,"Otso",NULL,"Open","1064","FIN","Finland"
NULL,"Outsiterz",NULL,"Open","1176","SVK","Slovakia"
NULL,"Panthers Bern",NULL,"Open","1174","SUI","Switzerland"
NULL,"Panthers Wrocław",NULL,"Open","1151","POL","Poland"
NULL,"Uprising",NULL,"Open","1151","POL","Poland"
NULL,"Ranelagh",NULL,"Open","1088","IRL","Ireland"
NULL,"SmashD",NULL,"Open","1069","GBR","Great Britain"
NULL,"Tchac",NULL,"Open","1065","FRA","France"
